0	0.0000	0.6857	40	None	None	1	-5	22.325141572285148
1	1.0286	1.2000	62	None	None	1	-1	22.325141572285148
2	1.2000	1.3714	55	None	None	1	-2	20.80218835591088
3	1.3714	1.5429	53	None	None	1	-1	16.822656192168182
4	1.5429	2.2286	40	None	None	1	-5	22.32514157228514
5	2.5714	2.7429	62	None	None	1	-1	21.740531312458362
6	2.7429	2.9143	55	None	None	1	-2	23.277373417721513
7	2.9143	3.0857	53	None	None	1	-1	23.715531312458346
8	3.0857	3.7714	40	None	None	1	-5	22.279676049300452
9	4.1143	4.2857	62	None	None	1	-1	21.893929425837307
10	4.2857	4.4571	55	None	None	1	-2	24.708223684210516
11	4.4571	4.6286	53	None	None	1	-1	20.67448308270677
12	4.6286	9.6000	40	None	None	1	-5	18.970206766917297
13	4.6286	9.4286	52	None	None	1	-2	20.943165629674944
14	4.8000	4.9714	54	None	None	1	-1	19.918379827961356
15	4.9714	5.1429	56	None	None	1	-4	12.469175421596614
16	5.1429	5.3143	57	None	None	1	-3	16.492859632122922
17	5.3143	5.4857	59	None	None	1	-2	17.600754368965024
18	5.4857	5.6571	61	None	None	1	-1	17.391723268486555
19	5.6571	11.6571	54	None	None	1	-4	21.55609062627496
20	5.6571	11.8286	63	None	None	1	-1	20.500420200209817
21	6.1714	12.6857	40	None	None	1	-5	17.104111295681054
22	6.1714	12.5143	52	None	None	1	-2	20.943165629674933
23	6.3429	6.5143	54	None	None	1	-1	19.918379827961342
24	6.5143	6.6857	56	None	None	1	-4	12.469175421596612
25	6.6857	6.8571	57	None	None	1	-3	16.49285963212294
26	6.8571	7.0286	59	None	None	1	-2	17.600754368965042
27	7.0286	7.2000	61	None	None	1	-1	17.39172326848657
28	7.2000	14.7429	54	None	None	1	-4	21.55609062627496
29	7.2000	14.9143	63	None	None	1	-1	20.500420200209813
30	7.7143	15.7714	40	None	None	1	-5	17.104111295681044
31	7.7143	15.6000	52	None	None	1	-2	20.943165629674926
32	7.8857	8.0571	54	None	None	1	-1	19.918379827961342
33	8.0571	8.2286	56	None	None	1	-4	12.46917542159661
34	8.2286	8.4000	57	None	None	1	-3	16.492859632122933
35	8.4000	8.5714	59	None	None	1	-2	17.600754368965028
36	8.5714	8.7429	61	None	None	1	-1	17.39172326848657
37	8.7429	17.8286	54	None	None	1	-4	21.556090626274983
38	8.7429	18.0000	63	None	None	1	-1	20.500420200209845
39	9.2571	18.8571	40	None	None	1	-5	17.10411129568108
40	9.2571	18.6857	52	None	None	1	-2	20.94316562967495
41	9.4286	9.6000	54	None	None	1	-1	19.918379827961363
42	9.6000	9.7714	56	None	None	1	-4	12.469175421596606
43	9.7714	9.9429	57	None	None	1	-3	16.492859632122936
44	9.9429	10.1143	59	None	None	1	-2	17.600754368965028
45	10.1143	10.2857	61	None	None	1	-1	17.39172326848657
46	10.2857	20.9143	54	None	None	1	-4	21.556090626274983
