//Version: PianoFingering_v170101
1	0.000000	0.576923	G4	90	80	0	1	-0.925785
2	0.000000	0.500000	G2	90	80	1	-5	-0.504576
3	0.500000	1.000000	A2	90	80	1	-4	-3.907966
4	0.576923	1.153846	A4	90	80	0	2	-2.867384
5	1.000000	2.000000	B2	90	80	1	-3	-2.915060
6	1.153846	2.307692	B4	90	80	0	3	-2.675961
7	2.000000	2.500000	C3	90	80	1	-2	-2.510186
8	2.307692	2.884615	C5	90	80	0	4	-2.883688
9	2.500000	3.000000	B2	90	80	1	-3	-2.891080
10	2.884615	3.461538	B4	90	80	0	3	-2.238713
11	3.000000	4.000000	A2	90	80	1	-4	-3.061136
12	3.461538	4.615385	A4	90	80	0	2	-2.287533
13	4.000000	4.500000	B2	90	80	1	-3	-2.915060
14	4.500000	5.000000	A2	90	80	1	-4	-3.061136
15	4.615385	5.192308	B4	90	80	0	3	-2.675961
16	5.000000	5.500000	B2	90	80	1	-3	-2.915060
17	5.192308	5.769231	A4	90	80	0	2	-2.287533
18	5.500000	6.000000	C3	90	80	1	-2	-2.510186
19	5.769231	6.346154	B4	90	80	0	3	-2.675961
20	6.000000	8.000000	D3	90	80	1	-1	-2.578439
21	6.346154	6.923077	C5	90	80	0	4	-2.883688
22	6.923077	9.230769	D5	90	80	0	5	-2.706622
23	8.000000	8.500000	C3	90	80	1	-2	-2.745489
24	8.500000	9.000000	D3	90	80	1	-1	-2.578439
25	9.000000	10.000000	C3	90	80	1	-2	-2.745489
26	9.230769	9.807692	C5	90	80	0	4	-2.814339
27	9.807692	10.384615	D5	90	80	0	5	-2.706622
28	10.000000	10.500000	B2	90	80	1	-3	-2.891080
29	10.384615	11.538462	C5	90	80	0	4	-2.814339
30	10.500000	11.000000	A2	90	80	1	-4	-3.061136
31	11.000000	12.000000	B2	90	80	1	-3	-2.915060
32	11.538462	12.115385	B4	90	80	0	3	-2.238713
33	12.115385	12.692308	A4	90	80	0	2	-2.287533
34	12.500000	13.000000	A2	90	80	1	-4	-3.061136
35	12.692308	13.846154	B4	90	80	0	3	-2.675961
36	13.000000	13.500000	B2	90	80	1	-3	-2.915060
37	13.500000	14.000000	C3	90	80	1	-2	-2.510186
38	14.000000	15.000000	B2	90	80	1	-3	-2.891080
39	14.423077	15.000000	A4	90	80	0	2	-2.287533
40	15.000000	15.576923	B4	90	80	0	3	-2.675961
41	15.000000	16.000000	A2	90	80	1	-4	-3.061136
42	15.576923	16.153846	C5	90	80	0	4	-2.883688
43	16.000000	18.000000	G2	90	80	1	-5	-3.249332
44	16.153846	17.307692	B4	90	80	0	3	-2.238713
45	17.307692	18.461538	A4	90	80	0	2	-2.287533
46	18.461538	20.769231	G4	90	80	0	1	-2.609267
